Division;MatchDate;MatchTime;HomeTeam;AwayTeam;HomeElo;AwayElo;Form3Home;Form5Home;Form3Away;Form5Away;FTHome;FTAway;FTResult;HTHome;HTAway;HTResult;HomeShots;AwayShots;HomeTarget;AwayTarget;HomeFouls;AwayFouls;HomeCorners;AwayCorners;HomeYellow;AwayYellow;HomeRed;AwayRed;OddHome;OddDraw;OddAway;MaxHome;MaxDraw;MaxAway;Over25;Under25;MaxOver25;MaxUnder25;HandiSize;HandiHome;HandiAway;C_LTH;C_LTA;C_VHD;C_VAD;C_HTB;C_PHB
F1;28.07.2000;;Marseille;Troyes;1686.34;1586.57;0;0;0;0;3;1;H;2;1;H;;;;;;;;;;;;;1.65;3.3;4.3;;;;;;;;;;;;;;;;
F1;28.07.2000;;Paris SG;Strasbourg;1714.89;1642.51;0;0;0;0;3;1;H;1;1;D;;;;;;;;;;;;;1.6;3.4;4.6;;;;;;;;;;;;;;;;
F2;28.07.2000;;Wasquehal;Nancy;1465.08;1633.8;0;0;0;0;0;1;A;0;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1;29.07.2000;;Auxerre;Sedan;1635.58;1624.22;0;0;0;0;0;1;A;0;1;A;;;;;;;;;;;;;1.7;3.3;3.9;;;;;;;;;;;;;;;;
F1;29.07.2000;;Bordeaux;Metz;1734.34;1673.11;0;0;0;0;1;1;D;1;0;H;;;;;;;;;;;;;1.65;3.3;4.3;;;;;;;;;;;;;;;;
F1;29.07.2000;;Guingamp;St Etienne;1578.51;1620.74;0;0;0;0;2;2;D;2;1;H;;;;;;;;;;;;;2.25;3;2.75;;;;;;;;;;;;;;;;
F1;29.07.2000;;Lille;Monaco;1630.81;1778.03;0;0;0;0;1;1;D;0;1;A;;;;;;;;;;;;;2.75;3;2.25;;;;;;;;;;;;;;;;
F1;29.07.2000;;Lyon;Rennes;1702.6;1644.99;0;0;0;0;2;2;D;0;2;A;;;;;;;;;;;;;1.6;3.4;4.6;;;;;;;;;;;;;;;;
F1;29.07.2000;;Nantes;Lens;1664.36;1730.89;0;0;0;0;0;2;A;0;0;D;;;;;;;;;;;;;2.15;3;3;;;;;;;;;;;;;;;;
F1;29.07.2000;;Toulouse;Bastia;1551.65;1656.37;0;0;0;0;0;1;A;0;0;D;;;;;;;;;;;;;2;3;3.5;;;;;;;;;;;;;;;;
F2;29.07.2000;;Ajaccio;Le Mans;1470.87;1477.89;0;0;0;0;1;0;H;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Beauvais;Montpellier;1422.21;1606;0;0;0;0;1;3;A;0;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Caen;Cannes;1521.6;1461.5;0;0;0;0;2;2;D;1;2;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Chateauroux;Martigues;1508.37;1422.21;0;0;0;0;1;1;D;0;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Creteil;Lorient;1439.34;1491.14;0;0;0;0;2;1;H;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Laval;Gueugnon;1496.87;1541.08;0;0;0;0;2;1;H;2;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Nice;Le Havre;1518.06;1578;0;0;0;0;0;0;D;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Nimes;Sochaux;1449.91;1575.12;0;0;0;0;3;3;D;3;1;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;29.07.2000;;Niort;Angers;1469.16;1422.21;0;0;0;0;3;2;H;3;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1;03.08.2000;;Sedan;Lyon;1635.08;1698.35;9;15;3;5;1;1;D;0;0;D;;;;;;;;;;;;;2.1;3.1;3.2;;;;;;;;;;;;;;;;
F1;04.08.2000;;Monaco;Nantes;1776.69;1651.93;3;5;0;0;2;5;A;1;4;A;;;;;;;;;;;;;1.4;4;6;;;;;;;;;;;;;;;;
F1;04.08.2000;;St Etienne;Marseille;1622.39;1691.36;3;5;9;15;3;0;H;1;0;H;;;;;;;;;;;;;2.35;3;2.75;;;;;;;;;;;;;;;;
F2;04.08.2000;;Lorient;Nimes;1484.23;1450.63;0;0;3;5;1;1;D;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1;05.08.2000;;Bastia;Bordeaux;1664.26;1730;9;15;3;5;2;0;H;1;0;H;;;;;;;;;;;;;1.8;3.1;4;;;;;;;;;;;;;;;;
F1;05.08.2000;;Lens;Guingamp;1743.32;1576.86;9;15;3;5;3;2;H;1;0;H;;;;;;;;;;;;;1.4;3.2;8;;;;;;;;;;;;;;;;
F1;05.08.2000;;Metz;Auxerre;1677.45;1624.71;3;5;0;0;1;2;A;1;1;D;;;;;;;;;;;;;1.8;3;4.2;;;;;;;;;;;;;;;;
F1;05.08.2000;;Rennes;Paris SG;1649.24;1720.51;3;5;9;15;1;1;D;1;0;H;;;;;;;;;;;;;2.45;3.05;2.6;;;;;;;;;;;;;;;;
F1;05.08.2000;;Strasbourg;Lille;1636.89;1632.15;0;0;3;5;0;4;A;0;1;A;;;;;;;;;;;;;1.7;3.1;4.4;;;;;;;;;;;;;;;;
F1;05.08.2000;;Troyes;Toulouse;1581.55;1543.76;0;0;0;0;1;1;D;1;1;D;;;;;;;;;;;;;2.15;3.2;2.9;;;;;;;;;;;;;;;;
F2;05.08.2000;;Angers;Ajaccio;1417.68;1476.65;0;0;9;15;1;1;D;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;05.08.2000;;Cannes;Niort;1465.82;1473.7;3;5;9;15;6;4;H;2;1;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;05.08.2000;;Gueugnon;Nice;1534.35;1516.91;0;0;3;5;1;2;A;0;2;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;05.08.2000;;Le Havre;Beauvais;1579.15;1414.12;3;5;0;0;1;0;H;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F2;05.08.2000;;Le Mans;Martigues;1472.12;1427.12;0;0;3;5;2;2;D;1;1;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
